username,course,registered_at,start_date,account_age_days,user_cohort
Ratri Ayumsari,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-11-04 15:15:38+00:00,2025-12-19 17:00:00+00:00,410.07247685185183,Existing User
Etewe,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-11-26 12:14:31+00:00,2025-12-19 17:00:00+00:00,388.1982523148148,Existing User
Afdhal Sy,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-09-22 13:24:56+00:00,2025-12-19 17:00:00+00:00,453.14935185185186,Existing User
Lemonwithices,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-07-13 03:04:11+00:00,2025-12-19 17:00:00+00:00,159.58042824074073,Existing User
Ars-arsa,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-12-07 06:55:40+00:00,2025-12-19 17:00:00+00:00,12.419675925925926,Existing User
Rezanuronline,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-12-13 09:37:27+00:00,2025-12-19 17:00:00+00:00,6.307326388888889,New User
LadyAyasophia,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-12-15 03:56:59+00:00,2025-12-19 17:00:00+00:00,4.543761574074074,New User
Goldyfauhn,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-12-15 10:43:40+00:00,2025-12-19 17:00:00+00:00,4.261342592592593,New User
Scarzmouche,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2024-01-04 16:06:21+00:00,2025-12-19 17:00:00+00:00,715.0372569444445,Existing User
Hirahusnul,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-11-08 14:05:24+00:00,2025-12-19 17:00:00+00:00,41.12125,Existing User
Ibrohim tijani,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2025-10-25 12:20:55+00:00,2025-12-19 17:00:00+00:00,55.19380787037037,Existing User
Inagus,Wikimedia_Indonesia/Geodatathon_Desember_2025_-_Cadang,2019-11-02 07:52:08+00:00,2025-12-19 17:00:00+00:00,2239.380462962963,Existing User
Nafisathallah,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2020-07-30 12:15:58+00:00,2026-01-09 22:00:00+00:00,1989.4055787037037,Existing User
Lim Natee,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2021-06-16 18:11:08+00:00,2026-01-09 22:00:00+00:00,1668.158935185185,Existing User
Dyalim,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2023-01-11 05:13:18+00:00,2026-01-09 22:00:00+00:00,1094.6990972222222,Existing User
Papa Diddy,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2024-10-09 01:46:14+00:00,2026-01-09 22:00:00+00:00,457.8428935185185,Existing User
Blueshean,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2025-08-13 15:14:06+00:00,2026-01-09 22:00:00+00:00,149.281875,Existing User
Hanakupi,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2025-10-26 03:13:29+00:00,2026-01-09 22:00:00+00:00,75.78230324074075,Existing User
